"address","storey_range","floor_area_sqm","remaining_lease_year","resale_price","LATITUDE","LONGITUDE","PROX_CBD","PROX_ELDERLYCARE","PROX_HAWKER","PROX_MRTLRT","PROX_PARKS","PROX_SUPERMARKETS","PROX_CLINICS","NUM_KINDERGARDEN_350M","NUM_CHILDCARE_350M","NUM_BUSSTOP_350M","NUM_PRISCH_1KM","01TO03","04TO06","07TO09","10TO12","13TO15","16TO18","19TO21","22TO24","25TO27","28TO30","31TO33","34TO36","37TO39","40TO42","43TO45","46TO48","49TO51"
"8 ST. GEORGE'S LANE","01 TO 03",93,62,435000,1.32212658853449,103.859757565681,7.047,1.49950786012734,0.436702667071499,1.88277958046157,0.970884309004403,0.65587763997019,0.348517351788585,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 ST. GEORGE'S RD","04 TO 06",82,56,370000,1.32214304015031,103.860527604458,7.053,0.825363801836788,1.07222794736207,1.35133923534899,0.200462267315497,0.286756803472354,0.286875861642738,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23 ST. GEORGE'S RD","01 TO 03",91,64,440000,1.32210154869233,103.86211483721,6.795,2.64010500920306,2.67100735739599,0.257866063617004,1.18766348849563,0.447499588693829,0.584979260307536,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14 ST. GEORGE'S RD","07 TO 09",93,64,470000,1.32212282694162,103.86218890545,6.795,2.29866656672601,3.11504998923863,0.537169172622234,1.03747444213871,0.254443355368409,0.254346213012796,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10 ST. GEORGE'S RD","01 TO 03",104,64,488000,1.32212434938077,103.858962948486,5.879,2.19693401219361,3.04539780877528,0.496349936259872,0.938520792940054,0.211353460113711,0.211273942743685,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20 ST. GEORGE'S RD","01 TO 03",93,64,385000,1.32209710700002,103.860297504321,7.047,0.637010306196125,1.40037385894204,0.135058849139708,1.09732932764849,0.604193023577731,0.398170859026908,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5 ST. GEORGE'S LANE","07 TO 09",93,60,460000,1.32214336430991,103.860377759519,7.047,1.43104710830717,0.590100207355993,0.957666454867613,0.279476256661635,1.12480634050335,0.10905805246415,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11 ST. GEORGE'S RD","04 TO 06",104,64,486000,1.32211242137325,103.860706369123,7.053,0.206792220488561,1.00650936672712,0.710774914718402,0.896946886572517,0.180168003531235,0.0590055245363797,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4B ST. GEORGE'S LANE","04 TO 06",104,76,488888,1.32213619931884,103.859153404514,5.879,0.0781677426802348,1.06001975854726,0.679548961683938,1.46989889380087,0.13890462676117,0.7831615468603,1,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5 ST. GEORGE'S LANE","07 TO 09",93,60,430000,1.32214593170196,103.85999352687,7.047,1.63657569732097,1.83519264240974,1.50599370682112,0.885043138852217,0.62054801715589,0.358882644812353,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5 ST. GEORGE'S LANE","07 TO 09",91,60,432000,1.32211542434261,103.858278491201,5.77,0.620512175746934,1.34481569836488,1.42881206343503,0.566434582929008,0.697411380954008,0.521153057893914,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6 ST. GEORGE'S LANE","07 TO 09",93,60,401000,1.32209997711963,103.861051209694,7.053,1.55344239202321,0.289612735961981,0.775626190955144,1.02908608775923,1.45149971819721,0.720360064898489,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 ST. GEORGE'S RD","04 TO 06",84,64,418000,1.32210911890195,103.860964739701,7.053,1.77739909963666,0.439767859835569,0.985163366143155,0.889930094889205,1.07329078661021,0.950103174970067,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6 ST. GEORGE'S LANE","10 TO 12",95,60,485000,1.32211071290459,103.861606318978,6.865,0.546648694377892,1.42447955067146,1.18768898474069,1.22112698108614,0.456042827508184,0.436390061413051,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4B ST. GEORGE'S LANE","04 TO 06",105,76,560000,1.32212282475126,103.862274085103,6.795,1.31215701781222,2.29619487902102,0.685878105027943,0.500105228794623,0.912402863110872,0.589981723161778,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14 ST. GEORGE'S RD","10 TO 12",93,64,477000,1.32212145463992,103.862276395195,6.795,1.28601389215617,2.276870685304,0.657493527477658,0.521864579038843,0.942302157837412,0.558534890758528,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 ST. GEORGE'S RD","07 TO 09",84,64,428000,1.3221222564391,103.861683533797,6.865,0.82336788332538,2.07345781187049,0.809235055074687,0.334566483742151,0.547191709823257,0.840679172006454,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23 ST. GEORGE'S RD","04 TO 06",91,63,465000,1.32211159370979,103.860446081902,7.047,1.73877058769242,1.20698349895265,1.00292166304871,0.910411069761205,0.733845252434322,0.0548722603258377,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 ST. GEORGE'S RD","10 TO 12",82,55,401000,1.32213978616474,103.860189808025,7.047,1.75867074111896,1.28140265832931,0.844190444625074,1.01667585769448,0.75558090476965,0.314904859247239,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 ST. GEORGE'S RD","07 TO 09",82,55,353000,1.322150383665,103.85926774741,5.879,1.06668803854857,0.440935165892322,0.770177471995424,0.46731137261065,0.434681842175075,0.434839441863023,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4B ST. GEORGE'S LANE","01 TO 03",106,75,525000,1.32214722935906,103.860136837497,7.047,2.29719594007698,1.61637923361696,0.374092250881023,0.850206152607626,0.567406784157164,0.340241967096111,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19 ST. GEORGE'S RD","04 TO 06",92,63,425000,1.32210366473066,103.858342625086,5.77,0.631473678721418,1.21816087048052,1.07105771897709,1.30785515460194,0.631818572012544,0.675267921704811,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1 ST. GEORGE'S RD","04 TO 06",82,54,390000,1.32209984441634,103.860655566173,7.053,0.414253677224598,0.6844967002479,0.340278066854983,0.31634997833765,0.37624658408371,0.422061711974824,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16 ST. GEORGE'S RD","04 TO 06",94,63,445000,1.32211381429584,103.85927955439,5.879,1.03721216253392,0.63188559422584,0.39830522828518,0.242864238912372,0.55756047418242,0.49965095674037,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23 ST. GEORGE'S RD","01 TO 03",97,62,478000,1.32211077766557,103.862362116254,6.762,0.325756293759549,1.49285976777476,0.343073437955937,1.23943733045067,0.307590281627563,0.493443679711229,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9 ST. GEORGE'S RD","04 TO 06",84,63,418000,1.32213386644888,103.862123664267,6.795,2.59498474268805,2.83256219267351,0.290909575517326,1.13086331135069,0.201757787778039,0.425378531319029,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204 ANG MO KIO AVE 3","01 TO 03",92,57,330000,1.36736755852819,103.843920935718,13.123,0.159140711707134,1.06925461995731,0.628809832567902,0.805556762473129,0.818101929328506,0.683346113257515,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175 ANG MO KIO AVE 4","07 TO 09",91,61,360000,1.37572264709308,103.837123341994,15.69,1.30619247440634,1.35246530589567,0.534779114633827,1.22254160523989,0.603210205912282,0.581674671984761,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543 ANG MO KIO AVE 10","01 TO 03",92,61,370000,1.37430114417473,103.856235581791,13.376,1.50728776000202,1.0571094558892,0.718490612024511,0.941042452269325,0.998794513395975,0.754744858699598,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118 ANG MO KIO AVE 4","04 TO 06",99,58,375000,1.37329593649654,103.835475719134,14.246,1.39307333203115,1.73430093107425,0.864483653892406,0.414832551425324,0.308468433812144,0.202700213072399,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"411 ANG MO KIO AVE 10","04 TO 06",92,59,380000,1.36339526691913,103.855273018614,12.064,1.38074555389722,0.577552644267102,1.75223067453796,0.82642789709914,0.319544297117977,0.558349045859847,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546 ANG MO KIO AVE 10","10 TO 12",92,61,380000,1.37365123866689,103.857022220393,13.284,0.350385133872336,0.391033082357264,0.5202210074303,0.381196633519314,0.38835704039471,0.128370136744622,0,7,18,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"428 ANG MO KIO AVE 3","07 TO 09",92,58,385000,1.36893906457102,103.854412288513,13.263,0.968120465530592,1.63195643027697,1.69519197305472,0.538913299740779,0.572271899756863,0.135813658360553,2,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173 ANG MO KIO AVE 4","04 TO 06",92,62,395000,1.37531353711244,103.836245672487,15.777,0.331496087310192,0.631891254063024,0.430760840396437,0.136933342217582,0.285387419299893,0.199804000401284,3,3,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"607 ANG MO KIO AVE 4","10 TO 12",93,60,395000,1.38046758670091,103.838816721629,16.023,1.71528519664195,1.79923356910041,0.646072979374447,1.73803347225037,0.501764426797966,5.35614966123511e-06,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"603 ANG MO KIO AVE 5","07 TO 09",91,60,395000,1.38020079047279,103.83575571651,15.904,0.740693396853512,0.824758437043059,0.219807027453584,0.441037612928893,0.192171892244762,0.192159143620759,1,6,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"511 ANG MO KIO AVE 8","07 TO 09",91,60,4e+05,1.37356775015905,103.850154125155,14.364,0.269699569424859,0.155585770699832,0.118574180310452,0.140722605099626,0.0694429586359811,0.119524531865851,6,21,87,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205 ANG MO KIO AVE 1","07 TO 09",98,57,408000,1.36694084363535,103.843582435016,13.069,0.224556933003415,0.272693538666485,0.330171340466351,0.50636777183022,0.223439233664493,0.259787264313965,1,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433 ANG MO KIO AVE 10","10 TO 12",92,59,409000,1.36807652285135,103.854353042615,13.361,1.38882283960922,1.75643824182811,2.05814123811026,0.841425774082883,0.488644616311907,0.62860289089482,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"610 ANG MO KIO AVE 4","07 TO 09",95,60,412000,1.37939470957037,103.839157231326,15.942,2.38069440049562,1.06316182747695,0.548392500701481,1.03209890566285,0.416439008364228,0.917192178076237,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"335 ANG MO KIO AVE 1","04 TO 06",91,62,428000,1.36320996798464,103.850690597254,12.097,1.46666703657861,1.59738469010888,0.316523952294512,0.572119708011264,0.624958112832102,0.219614972642906,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312 ANG MO KIO AVE 3","13 TO 15",98,58,460000,1.36620036835108,103.848778360851,12.299,0.654236233585173,0.590568050286227,0.41513153626372,1.30581938740013,0.47920382748373,0.419806190279315,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"326 ANG MO KIO AVE 3","13 TO 15",92,57,463000,1.36706933818888,103.847902498352,12.847,0.0234064272579914,0.218569609717527,0.052424705247514,0.0603187320828777,0.0571443847197565,0.0613336693725779,5,22,98,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"627 ANG MO KIO AVE 9","10 TO 12",112,73,490000,1.38183547752751,103.841369094655,14.625,0.493989278063753,0.28883916298063,0.813951621163746,0.612619496145815,0.146627804505206,0.194879790786294,0,2,12,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"310C ANG MO KIO AVE 1","04 TO 06",94,92,5e+05,1.36461194568101,103.844851256166,12.255,0.813663250614006,0.705615295916649,1.07777905033286,0.724071761880722,0.631184077569753,0.407973954591457,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"700A ANG MO KIO AVE 6","10 TO 12",90,83,598000,1.36997128892861,103.846076487359,12.983,0.619851032754313,2.11693881593626,1.35004394926268,0.297382001267899,0.486493286388239,0.064975784530329,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"310B ANG MO KIO AVE 1","25 TO 27",96,92,750000,1.36464706979458,103.844250019479,12.322,2.21836851997599,1.46917413287013,0.677793344750128,0.891328636664592,1.1541630697178,0.054300017242319,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"35 BEDOK STH AVE 2","07 TO 09",90,57,338000,1.32233220742919,103.939766219283,13.531,0.300680125774849,2.35387738776358,0.5498964692288,0.384284636135482,0.378497023219058,0.23671679100724,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56 CHAI CHEE DR","01 TO 03",91,63,345000,1.32635040550492,103.920064202822,10.339,0.312612925061195,0.164141930652388,0.141695850875711,0.212364141565976,0.244544579538424,0.141186951594325,7,16,69,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"524 BEDOK NTH ST 3","07 TO 09",92,59,348000,1.33484035279202,103.930637846839,16.343,1.1801448894858,1.49301019347381,0.559658228600171,0.45585640102969,0.459396951992049,0.252500938179515,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124 BEDOK NTH RD","07 TO 09",92,58,350000,1.32925881944574,103.939046430321,14.669,0.561596417443275,0.622120261191613,0.850009324705194,1.06674366121045,0.51363750178521,0.040208278210831,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128 BEDOK RESERVOIR RD","01 TO 03",84,66,350000,1.33334609718403,103.911344064946,14.337,0.986334845716903,0.802693525888625,0.68577331151001,0.517829060725103,0.0444814085407765,0.0444126415836566,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134 BEDOK RESERVOIR RD","04 TO 06",84,67,350000,1.33277860691699,103.912631126804,14.175,0.551330687425014,0.406533192461645,0.578312577452927,0.246494810178053,0.258213262841448,0.323624303716182,1,3,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142 BEDOK RESERVOIR RD","10 TO 12",84,66,353000,1.33563649761465,103.913269358016,11.674,1.34159780692291,0.543062598864925,0.7914292630256,1.54285101068281,0.621749016244637,0.373984613611151,2,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"135 BEDOK RESERVOIR RD","10 TO 12",84,67,358000,1.33314106418951,103.912523538101,14.374,0.577485735837987,1.52875262822213,1.58495294063065,0.558155266148489,0.227216102928937,0.230860970619859,0,2,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"100 BEDOK NTH AVE 4","07 TO 09",92,58,365000,1.3343559340081,103.939032711241,15.269,1.00085663247279,0.557247293382112,0.61684052204574,0.256261044933149,0.502386834554685,0.207418580222827,0,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133 BEDOK RESERVOIR RD","07 TO 09",84,67,370000,1.33235744118922,103.911767964622,14.178,1.09640929490986,0.666244472082854,0.460759510460037,0.583242131008004,0.157309501981977,0.348878023736832,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36 BEDOK STH AVE 2","13 TO 15",84,57,375000,1.32163299655185,103.938441289401,13.376,0.494307171033599,0.931266738723146,0.468666890673066,0.0507659616501178,0.190419540024506,0.294258679057824,0,2,9,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"163 BEDOK STH RD","04 TO 06",83,65,380000,1.3197279369589,103.946626870712,14.001,0.958516996786133,0.515111992760609,0.847997030317207,0.387970252981249,0.0642171873434828,0.318727689866226,1,2,12,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"528 BEDOK NTH ST 3","04 TO 06",92,59,382000,1.33490287587397,103.927838167286,16.033,1.86212524658579,1.38815033208758,0.828732333835407,0.83348111502938,0.534243488286371,0.259095277766462,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120 BEDOK RESERVOIR RD","04 TO 06",104,65,385000,1.33089247225844,103.909920867054,13.938,1.97515780179808,2.43133680459508,1.2946459845378,0.135238600846867,0.441992662075522,0.441918013904014,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43 CHAI CHEE ST","10 TO 12",92,60,385000,1.32834668503077,103.925654810377,15.304,0.891840293180597,0.481815026289129,0.982512390930375,0.0732858328473449,0.801260459583867,0.577008190485256,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"51 CHAI CHEE ST","07 TO 09",98,61,385000,1.32881089989839,103.922129869924,15.433,0.249729468727196,1.35370092488761,0.581189113087106,0.444360033055003,0.479330134966679,0.471733660796487,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103 BEDOK NTH AVE 4","13 TO 15",91,57,390000,1.33348258777759,103.937542520091,14.963,0.916107896860495,1.48638844280812,1.06445562864777,1.93843789305127,0.504106834787577,0.668590400823187,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"78 BEDOK NTH RD","07 TO 09",91,58,390000,1.32726007220341,103.940848770214,14.655,0.558865258277473,1.03969009032977,1.62139878574993,0.685959999401215,0.358645022628997,0.421668726467397,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80 BEDOK NTH RD","07 TO 09",91,58,390000,1.32848132017235,103.940611608837,14.452,3.07067834939998,1.83660596514578,0.232923596926456,0.215087308433545,0.413086168758274,0.303224440825255,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157 BEDOK STH AVE 3","10 TO 12",83,65,396500,1.31873607930176,103.945715581305,13.949,1.36817485924864,0.719711378118141,0.407155753355378,0.603038822634434,0.333192147715181,0.241981023748788,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"543 BEDOK NTH ST 3","01 TO 03",92,60,405000,1.33033659434823,103.923223544145,16.455,0.169243739105891,0.654026514535611,0.518280643502806,0.614477192344564,0.126263251893416,0.126265817299411,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40 BEDOK STH RD","07 TO 09",92,58,418000,1.3209863188336,103.939810017674,13.299,1.87350139217844,1.13853577253342,1.25271193412278,0.733309163676232,0.589779304877042,0.584591084161457,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708 BEDOK NTH RD","01 TO 03",91,60,420000,1.33503645745879,103.919311961318,15.346,1.15450821146303,1.25405932453807,0.205355587417287,0.175443255365829,1.02109866523981,0.648921186986622,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39 BEDOK STH RD","13 TO 15",92,58,422000,1.32139766306096,103.93973036061,13.418,0.248079098682651,0.423133377704313,0.191054370151703,0.334456357056394,0.353595174531949,0.132801264006552,2,9,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"421 BEDOK NTH RD","10 TO 12",92,59,431000,1.32825912318808,103.928973650256,14.51,1.40580226250639,0.811599799745722,0.600060468836608,0.21927140364756,0.539905525913312,0.413920347744784,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"718 BEDOK RESERVOIR RD","04 TO 06",104,64,435000,1.33663363411169,103.925744921529,16.735,0.259196077170426,1.54595010297773,0.37060713121528,1.19389330175511,0.73827178293468,0.310845031180179,2,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667 JLN DAMAI","01 TO 03",108,76,440000,1.33374545014475,103.908858611231,14.055,1.72950294566812,1.5790574773712,1.49698416026191,0.34553649260796,0.352648574471616,0.22885069630301,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"764 BEDOK RESERVOIR VIEW","10 TO 12",105,80,545000,1.33587226296479,103.935400949109,16.942,0.43941490881271,0.637831422927429,0.975511494205801,0.784407824308984,0.547359203999846,0.294319891430948,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"183 BEDOK NTH RD","19 TO 21",92,85,630000,1.32643686024316,103.941850926144,14.454,0.624175337172765,0.514222032838601,0.141715483523423,0.221485901805122,0.139034974533059,0.18063513032989,7,8,22,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"185 BEDOK NTH RD","19 TO 21",92,85,650000,1.32623725322603,103.940827550178,14.319,0.72852121935522,1.20129567356941,0.116039875194003,0.365731013229076,0.317283102838489,0.31684109157354,0,3,12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"220C BEDOK CTRL","04 TO 06",94,90,680000,1.32553175509019,103.933854539923,13.971,0.95263452364399,1.19345211515469,0.510006495530321,1.22673134440609,0.294901174385981,0.231630084455215,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219A BEDOK CTRL","13 TO 15",94,90,690000,1.32531112114443,103.933278106545,13.926,2.65492493003483,2.54431515492467,0.294268759205466,1.21448775173181,0.591961563146002,0.0827259142498787,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"220C BEDOK CTRL","16 TO 18",97,90,720000,1.32553175509019,103.933854539923,13.971,0.95263452364399,1.19345211515469,0.510006495530321,1.22673134440609,0.294901174385981,0.231630084455215,0,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"219C BEDOK CTRL","10 TO 12",97,90,750000,1.32485598421255,103.933519574319,14.105,0.590778435031939,0.840217065219908,0.306567866179265,0.0673502194610182,0.450322462323554,0.332855257816812,1,4,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"152 BISHAN ST 11","04 TO 06",93,68,468888,1.34565720294218,103.854641447626,9.964,1.02914502875101,0.334486898545109,0.531173324137475,0.163850603377714,0.475887325524537,5.40632419614092e-06,1,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145 BISHAN ST 11","07 TO 09",84,67,470000,1.34488600912462,103.85428449567,9.937,0.709840355962687,0.537947655860112,0.822268983712562,0.512171001440991,0.715242716154181,0.532472581576489,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126 BISHAN ST 12","07 TO 09",84,67,478000,1.34627451305877,103.852083743726,10.342,0.985859065791302,1.93968044935203,0.844041620334531,0.321704014825591,0.466853502439333,0.317691447554743,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109 BISHAN ST 12","07 TO 09",84,65,5e+05,1.34675059587742,103.847990168368,10.914,0.777364007457884,0.427833211142554,1.49304677191247,0.871588450078723,0.395303848129739,0.399997838805891,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122 BISHAN ST 12","10 TO 12",84,66,505000,1.34681988418358,103.850614135416,10.607,1.42864018740641,0.946489396861553,0.896063916435849,0.756093315008478,0.390512821970443,0.856909674093144,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"144 BISHAN ST 12","07 TO 09",103,68,515000,1.34593563508849,103.853311673446,10.386,0.171659929307566,0.267043232941512,0.179060980025121,0.165179537595858,0.130897488003963,0.157942284142343,11,20,86,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107 BISHAN ST 12","07 TO 09",84,65,525000,1.34641761420969,103.847920706844,10.949,1.0170326982162,0.876172962140775,0.38699632647604,1.14170503454185,0.922549556704023,0.0881620205457298,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225 BISHAN ST 23","04 TO 06",103,72,530000,1.35853006205077,103.847629904017,12.935,1.59536036703194,0.699547549971234,0.925185584646995,1.11664165430041,0.383725779561456,0.724957874286155,1,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263 BISHAN ST 22","04 TO 06",106,72,535000,1.3589002858095,103.842593312869,13.244,0.412384004336349,0.242717512545622,0.253072968193318,0.0435818327603968,0.112150020564088,0.0926181215481507,4,9,49,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266 BISHAN ST 24","04 TO 06",104,72,548000,1.35793002051239,103.842088092204,13.21,0.713170885732133,1.41930903165419,1.54924191589858,0.390382350481005,0.650352206947609,0.589940576134551,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287 BISHAN ST 24","04 TO 06",103,72,548000,1.35773053802359,103.843785453611,12.937,2.05665508480191,0.961278703093942,0.396759499822854,1.22846169253249,0.854480960911215,0.332892944510311,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232 BISHAN ST 22","04 TO 06",103,72,550000,1.35823053289739,103.845705326271,12.893,0.50832888159587,0.35734543107191,1.20921752699249,0.196432054024547,1.07547209773267,0.578026260816745,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250 BISHAN ST 22","04 TO 06",114,72,550000,1.3616148191445,103.843937148209,13.25,1.08291964916752,1.23176467015591,0.560310139030893,0.375137132803387,1.0356147802586,0.73405674285642,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184 BISHAN ST 13","10 TO 12",83,68,560000,1.35006712276964,103.85253500527,10.645,0.825680956385156,1.89859821229282,1.07015113749578,0.67108294402305,0.786138450012928,0.323871953188526,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"193 BISHAN ST 13","10 TO 12",83,68,565000,1.34866564535341,103.850977151715,10.871,0.594755131700036,0.666786305885329,0.707564961019405,1.30171255787385,0.348390891593733,0.13419082111403,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"260 BISHAN ST 22","07 TO 09",104,72,568000,1.35960292271157,103.84223893939,13.263,0.52299172127726,0.86835958097058,0.0435066278677705,1.18180255198539,0.886800789236446,0.191049502137443,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255 BISHAN ST 22","01 TO 03",105,72,568000,1.36166448826498,103.842753070079,13.134,1.81443236223661,0.97626179472386,0.74047746475021,0.290728002106894,0.986080668191874,0.228468757330998,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
