"month","town","address","block","street_name","flat_type","storey_range","storey_range_lower","storey_range_upper","floor_area_sqm","flat_model","lease_commence_date","remaining_lease","remaining_lease_year","resale_price","LATITUDE","LONGITUDE","PROX_CBD"
"2019-07","TOA PAYOH","204 TOA PAYOH NTH","204","TOA PAYOH NTH","4 ROOM","07 TO 09","07","09",87,"Improved",1973,"53 years",53,380000,1.34148414007449,103.849067723667,11.275
"2019-07","TOA PAYOH","18 JOO SENG RD","18","JOO SENG RD","4 ROOM","10 TO 12","10","12",106,"Model A",1984,"63 years 08 months",63,430000,1.33684922199185,103.881141512065,10.445
"2019-07","TOA PAYOH","244 KIM KEAT LINK","244","KIM KEAT LINK","4 ROOM","01 TO 03","01","03",104,"Model A",1989,"68 years 07 months",68,455000,1.33069367982742,103.85635902134,10.079
"2019-07","TOA PAYOH","193 LOR 4 TOA PAYOH","193","LOR 4 TOA PAYOH","4 ROOM","22 TO 24","22","24",84,"Improved",1974,"54 years 01 month",54,473000,1.33159005591995,103.851295104405,8.95
"2019-07","TOA PAYOH","43 LOR 5 TOA PAYOH","43","LOR 5 TOA PAYOH","4 ROOM","01 TO 03","01","03",109,"Model A",1993,"72 years 09 months",72,5e+05,1.33593875252104,103.854288176424,11.263
"2019-07","TOA PAYOH","79E TOA PAYOH CTRL","79E","TOA PAYOH CTRL","4 ROOM","07 TO 09","07","09",76,"Model A",2009,"88 years 09 months",88,623000,1.33472713626235,103.849822984337,8.539
"2019-07","TOA PAYOH","79E TOA PAYOH CTRL","79E","TOA PAYOH CTRL","4 ROOM","25 TO 27","25","27",76,"Model A",2009,"88 years 09 months",88,663888,1.33472713626235,103.849822984337,8.539
"2019-07","TOA PAYOH","152 LOR 2 TOA PAYOH","152","LOR 2 TOA PAYOH","4 ROOM","19 TO 21","19","21",91,"Model A",2006,"85 years 06 months",85,747000,1.33416708512554,103.845891140252,8.372
"2019-07","TOA PAYOH","79C TOA PAYOH CTRL","79C","TOA PAYOH CTRL","4 ROOM","19 TO 21","19","21",91,"Model A",2009,"88 years 09 months",88,765000,1.33466057880014,103.848577764995,11.029
"2019-07","TOA PAYOH","146 LOR 2 TOA PAYOH","146","LOR 2 TOA PAYOH","4 ROOM","28 TO 30","28","30",92,"Model A",2006,"85 years 06 months",85,768888,1.33466409464552,103.846451369821,8.439
"2019-07","TOA PAYOH","152 LOR 2 TOA PAYOH","152","LOR 2 TOA PAYOH","4 ROOM","37 TO 39","37","39",91,"Model A",2006,"85 years 06 months",85,780000,1.33416708512554,103.845891140252,8.372
"2019-07","TOA PAYOH","79B TOA PAYOH CTRL","79B","TOA PAYOH CTRL","4 ROOM","28 TO 30","28","30",91,"Model A",2009,"88 years 09 months",88,808000,1.33464078301907,103.847990266882,8.378
"2019-07","WOODLANDS","205 MARSILING DR","205","MARSILING DR","4 ROOM","04 TO 06","04","06",91,"New Generation",1980,"60 years 04 months",60,265000,1.4449461460443,103.773484126567,24.665
"2019-07","WOODLANDS","429 WOODLANDS ST 41","429","WOODLANDS ST 41","4 ROOM","01 TO 03","01","03",84,"Simplified",1996,"76 years 02 months",76,270000,1.42661684900233,103.772948569562,23.554
"2019-07","WOODLANDS","321 WOODLANDS ST 32","321","WOODLANDS ST 32","4 ROOM","04 TO 06","04","06",89,"Simplified",1994,"73 years 06 months",73,272000,1.43187058302869,103.779020810573,23.64
"2019-07","WOODLANDS","335 WOODLANDS ST 32","335","WOODLANDS ST 32","4 ROOM","01 TO 03","01","03",83,"Simplified",1985,"65 years 05 months",65,290000,1.42972520117129,103.780579357988,23.829
"2019-07","WOODLANDS","437 WOODLANDS ST 41","437","WOODLANDS ST 41","4 ROOM","04 TO 06","04","06",84,"Simplified",1996,"76 years 01 month",76,295000,1.42698226303345,103.774692737623,23.547
"2019-07","WOODLANDS","737 WOODLANDS CIRCLE","737","WOODLANDS CIRCLE","4 ROOM","04 TO 06","04","06",91,"Model A2",1998,"77 years 07 months",77,296500,1.4436783632097,103.796822911109,27.432
"2019-07","WOODLANDS","619 WOODLANDS DR 52","619","WOODLANDS DR 52","4 ROOM","04 TO 06","04","06",91,"Model A2",1998,"78 years 02 months",78,302000,1.43343677091965,103.79805544789,26.241
"2019-07","WOODLANDS","113 WOODLANDS ST 13","113","WOODLANDS ST 13","4 ROOM","07 TO 09","07","09",91,"New Generation",1987,"66 years 08 months",66,305000,1.43801404529215,103.78122891909,24.278
"2019-07","WOODLANDS","762 WOODLANDS AVE 6","762","WOODLANDS AVE 6","4 ROOM","04 TO 06","04","06",103,"Model A",1998,"77 years 07 months",77,308000,1.44602731663791,103.796071981368,27.631
"2019-07","WOODLANDS","774 WOODLANDS CRES","774","WOODLANDS CRES","4 ROOM","10 TO 12","10","12",91,"Model A2",1997,"77 years 03 months",77,310000,1.44814759810496,103.799142729823,27.406
"2019-07","WOODLANDS","707 WOODLANDS DR 40","707","WOODLANDS DR 40","4 ROOM","04 TO 06","04","06",100,"Model A",1996,"76 years 03 months",76,310000,1.44061701971721,103.79664662375,27.478
"2019-07","WOODLANDS","177 WOODLANDS ST 13","177","WOODLANDS ST 13","4 ROOM","04 TO 06","04","06",91,"New Generation",1986,"65 years 07 months",65,310000,1.43435791362603,103.778088434368,24.032
"2019-07","WOODLANDS","421 WOODLANDS ST 41","421","WOODLANDS ST 41","4 ROOM","01 TO 03","01","03",106,"Model A",1996,"75 years 07 months",75,312000,1.42777430170853,103.774621743717,23.523
"2019-07","WOODLANDS","769 WOODLANDS DR 60","769","WOODLANDS DR 60","4 ROOM","01 TO 03","01","03",103,"Model A",1997,"77 years 05 months",77,313000,1.44729070675124,103.798950715823,27.35
"2019-07","WOODLANDS","601 WOODLANDS DR 42","601","WOODLANDS DR 42","4 ROOM","01 TO 03","01","03",91,"Model A2",1997,"76 years 08 months",76,315000,1.43865031666959,103.796517232878,26.602
"2019-07","WOODLANDS","728 WOODLANDS CIRCLE","728","WOODLANDS CIRCLE","4 ROOM","10 TO 12","10","12",91,"Model A2",1997,"77 years 02 months",77,315000,1.44288020200672,103.798887777863,27.52
"2019-07","WOODLANDS","605 WOODLANDS DR 42","605","WOODLANDS DR 42","4 ROOM","01 TO 03","01","03",93,"Model A2",1997,"76 years 10 months",76,317000,1.43719230414699,103.797089753215,26.473
"2019-07","WOODLANDS","155 WOODLANDS ST 13","155","WOODLANDS ST 13","4 ROOM","04 TO 06","04","06",103,"Model A",1985,"64 years 08 months",64,318000,1.43473447528056,103.774586932224,23.313
"2019-07","WOODLANDS","427 WOODLANDS ST 41","427","WOODLANDS ST 41","4 ROOM","07 TO 09","07","09",100,"Model A",1997,"76 years 08 months",76,318000,1.42729507942919,103.772494639198,23.502
"2019-07","WOODLANDS","824 WOODLANDS ST 81","824","WOODLANDS ST 81","4 ROOM","04 TO 06","04","06",84,"Simplified",1989,"69 years 03 months",69,318000,1.4392326838762,103.788699950515,26.961
"2019-07","WOODLANDS","756 WOODLANDS AVE 4","756","WOODLANDS AVE 4","4 ROOM","07 TO 09","07","09",101,"Model A",1998,"77 years 07 months",77,320000,1.44572144964559,103.793193112326,27.637
"2019-07","WOODLANDS","336 WOODLANDS AVE 1","336","WOODLANDS AVE 1","4 ROOM","04 TO 06","04","06",103,"Model A",1985,"65 years 04 months",65,325000,1.43045950870745,103.782003060129,26.712
"2019-07","WOODLANDS","894A WOODLANDS DR 50","894A","WOODLANDS DR 50","4 ROOM","01 TO 03","01","03",100,"Model A",1996,"76 years 01 month",76,325000,1.43601133588258,103.7903668585,26.892
"2019-07","WOODLANDS","749 WOODLANDS CIRCLE","749","WOODLANDS CIRCLE","4 ROOM","04 TO 06","04","06",102,"Model A",1998,"77 years 08 months",77,325000,1.44451997381899,103.794445720357,27.685
"2019-07","WOODLANDS","622 WOODLANDS DR 52","622","WOODLANDS DR 52","4 ROOM","01 TO 03","01","03",102,"Model A",1998,"78 years 01 month",78,328000,1.43435618209184,103.798619620908,25.999
"2019-07","WOODLANDS","786F WOODLANDS DR 60","786F","WOODLANDS DR 60","4 ROOM","04 TO 06","04","06",100,"Model A",1997,"77 years",77,330000,1.44624972053447,103.800417990569,27.395
"2019-07","WOODLANDS","787E WOODLANDS CRES","787E","WOODLANDS CRES","4 ROOM","07 TO 09","07","09",102,"Model A",1997,"77 years 03 months",77,331000,1.44492134030396,103.80229706643,27.227
"2019-07","WOODLANDS","787E WOODLANDS CRES","787E","WOODLANDS CRES","4 ROOM","10 TO 12","10","12",100,"Model A",1997,"77 years 04 months",77,333000,1.44492134030396,103.80229706643,27.227
"2019-07","WOODLANDS","794 WOODLANDS DR 72","794","WOODLANDS DR 72","4 ROOM","10 TO 12","10","12",100,"Model A",1998,"77 years 06 months",77,335000,1.44257449085255,103.803594082133,27.161
"2019-07","WOODLANDS","682D WOODLANDS DR 73","682D","WOODLANDS DR 73","4 ROOM","04 TO 06","04","06",105,"Premium Apartment",2000,"79 years 08 months",79,338000,1.44096063753942,103.804726530731,26.528
"2019-07","WOODLANDS","786B WOODLANDS DR 60","786B","WOODLANDS DR 60","4 ROOM","04 TO 06","04","06",100,"Model A2",1997,"77 years 01 month",77,339000,1.44568798307172,103.800693953752,27.538
"2019-07","WOODLANDS","840 WOODLANDS ST 82","840","WOODLANDS ST 82","4 ROOM","10 TO 12","10","12",104,"Model A",1994,"73 years 11 months",73,339000,1.44381282098453,103.792401112407,27.55
"2019-07","WOODLANDS","772 WOODLANDS DR 60","772","WOODLANDS DR 60","4 ROOM","10 TO 12","10","12",100,"Model A",1997,"77 years 04 months",77,340000,1.44723371011331,103.798185250091,27.536
"2019-07","WOODLANDS","437 WOODLANDS ST 41","437","WOODLANDS ST 41","4 ROOM","10 TO 12","10","12",104,"Model A",1996,"76 years 01 month",76,345000,1.42698226303345,103.774692737623,23.547
"2019-07","WOODLANDS","640 WOODLANDS RING RD","640","WOODLANDS RING RD","4 ROOM","04 TO 06","04","06",102,"Model A",1999,"79 years 02 months",79,350000,1.43807796920962,103.802386575624,26.162
"2019-07","WOODLANDS","12A MARSILING LANE","12A","MARSILING LANE","4 ROOM","10 TO 12","10","12",93,"Model A",2013,"92 years 11 months",92,355000,1.44131726915198,103.778405129794,24.552
"2019-07","WOODLANDS","782B WOODLANDS CRES","782B","WOODLANDS CRES","4 ROOM","01 TO 03","01","03",92,"Model A",2015,"94 years 11 months",94,355000,1.44746980055218,103.803227069534,27.463
"2019-07","WOODLANDS","782D WOODLANDS CRES","782D","WOODLANDS CRES","4 ROOM","04 TO 06","04","06",92,"Model A",2015,"94 years 11 months",94,359000,1.44817395186338,103.803035444573,27.676
"2019-07","WOODLANDS","336 WOODLANDS AVE 1","336","WOODLANDS AVE 1","4 ROOM","10 TO 12","10","12",104,"Model A",1985,"65 years 04 months",65,360000,1.43045950870745,103.782003060129,26.712
"2019-07","WOODLANDS","588 WOODLANDS DR 16","588","WOODLANDS DR 16","4 ROOM","01 TO 03","01","03",91,"Model A",2001,"80 years 09 months",80,360000,1.42766679871283,103.794643990954,25.227
"2019-07","WOODLANDS","684A WOODLANDS DR 73","684A","WOODLANDS DR 73","4 ROOM","07 TO 09","07","09",105,"Premium Apartment",2000,"79 years 07 months",79,362000,1.4411312628412,103.805148060847,26.639
"2019-07","WOODLANDS","886B WOODLANDS DR 50","886B","WOODLANDS DR 50","4 ROOM","01 TO 03","01","03",92,"Premium Apartment",2015,"94 years 07 months",94,365000,1.43825809969323,103.794115487248,26.931
"2019-07","WOODLANDS","782E WOODLANDS CRES","782E","WOODLANDS CRES","4 ROOM","07 TO 09","07","09",92,"Model A",2015,"94 years 11 months",94,370000,1.44805153860282,103.802708834923,27.714
"2019-07","WOODLANDS","894B WOODLANDS DR 50","894B","WOODLANDS DR 50","4 ROOM","04 TO 06","04","06",100,"Model A",1996,"76 years 03 months",76,387000,1.4360094594713,103.789721786058,26.986
"2019-07","WOODLANDS","780D WOODLANDS CRES","780D","WOODLANDS CRES","4 ROOM","10 TO 12","10","12",92,"Model A",2015,"95 years 01 month",95,388000,1.44811995933796,103.801945845172,27.7
"2019-07","WOODLANDS","369 WOODLANDS AVE 1","369","WOODLANDS AVE 1","4 ROOM","04 TO 06","04","06",102,"Model A",1996,"76 years 05 months",76,388000,1.43343619748538,103.787422681373,26.399
"2019-07","WOODLANDS","782C WOODLANDS CRES","782C","WOODLANDS CRES","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"94 years 11 months",94,390000,1.44768422279415,103.803460439858,27.512
"2019-07","WOODLANDS","516 WOODLANDS DR 14","516","WOODLANDS DR 14","4 ROOM","01 TO 03","01","03",107,"Premium Apartment",1999,"78 years 08 months",78,390000,1.43469554286276,103.791048679069,26.235
"2019-07","WOODLANDS","886A WOODLANDS DR 50","886A","WOODLANDS DR 50","4 ROOM","01 TO 03","01","03",92,"Premium Apartment",2015,"94 years 08 months",94,392500,1.43829151566128,103.794612853493,27.107
"2019-07","WOODLANDS","782D WOODLANDS CRES","782D","WOODLANDS CRES","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"94 years 11 months",94,4e+05,1.44817395186338,103.803035444573,27.676
"2019-07","WOODLANDS","364 WOODLANDS AVE 5","364","WOODLANDS AVE 5","4 ROOM","04 TO 06","04","06",105,"Model A",1996,"75 years 11 months",75,408000,1.43407882459804,103.786743448762,26.446
"2019-07","WOODLANDS","12B MARSILING LANE","12B","MARSILING LANE","4 ROOM","19 TO 21","19","21",93,"Model A",2013,"92 years 11 months",92,410000,1.44108596725738,103.778120234676,24.306
"2019-07","WOODLANDS","887A WOODLANDS DR 50","887A","WOODLANDS DR 50","4 ROOM","07 TO 09","07","09",92,"Premium Apartment",2015,"94 years 07 months",94,415000,1.43719216541067,103.793890876939,26.872
"2019-07","YISHUN","260 YISHUN ST 22","260","YISHUN ST 22","4 ROOM","10 TO 12","10","12",84,"Simplified",1985,"65 years 01 month",65,265000,1.43547754128002,103.839276532996,22.326
"2019-07","YISHUN","167 YISHUN RING RD","167","YISHUN RING RD","4 ROOM","04 TO 06","04","06",84,"Simplified",1987,"67 years 06 months",67,275888,1.43661282967317,103.832356503845,23.448
"2019-07","YISHUN","603 YISHUN ST 61","603","YISHUN ST 61","4 ROOM","04 TO 06","04","06",83,"Simplified",1987,"66 years 07 months",66,295000,1.42205684515085,103.835660125996,21.967
"2019-07","YISHUN","437 YISHUN AVE 6","437","YISHUN AVE 6","4 ROOM","07 TO 09","07","09",104,"Model A",1988,"68 years 02 months",68,303000,1.42168752611672,103.84756072452,21.272
"2019-07","YISHUN","111 YISHUN RING RD","111","YISHUN RING RD","4 ROOM","07 TO 09","07","09",94,"New Generation",1982,"61 years 11 months",61,305000,1.43321263970177,103.828617498413,23.825
"2019-07","YISHUN","727 YISHUN ST 71","727","YISHUN ST 71","4 ROOM","01 TO 03","01","03",84,"Simplified",1985,"65 years 04 months",65,305000,1.42621011729954,103.831240144634,22.568
"2019-07","YISHUN","766 YISHUN AVE 3","766","YISHUN AVE 3","4 ROOM","10 TO 12","10","12",84,"Simplified",1985,"65 years 01 month",65,310000,1.42470239952978,103.833949786818,21.997
"2019-07","YISHUN","126 YISHUN ST 11","126","YISHUN ST 11","4 ROOM","07 TO 09","07","09",95,"New Generation",1984,"64 years 02 months",64,313000,1.43350905989816,103.830011887888,23.641
"2019-07","YISHUN","108 YISHUN RING RD","108","YISHUN RING RD","4 ROOM","07 TO 09","07","09",91,"New Generation",1985,"64 years 06 months",64,315000,1.43232355080911,103.829071971177,23.314
"2019-07","YISHUN","766 YISHUN AVE 3","766","YISHUN AVE 3","4 ROOM","07 TO 09","07","09",84,"Simplified",1985,"65 years 01 month",65,320888,1.42470239952978,103.833949786818,21.997
"2019-07","YISHUN","350 YISHUN AVE 11","350","YISHUN AVE 11","4 ROOM","04 TO 06","04","06",104,"Model A",1988,"68 years 01 month",68,325000,1.42547985096679,103.84427895925,22.995
"2019-07","YISHUN","416 YISHUN AVE 11","416","YISHUN AVE 11","4 ROOM","01 TO 03","01","03",104,"Model A",1993,"72 years 07 months",72,326000,1.42373289076121,103.846082250956,21.327
"2019-07","YISHUN","443 YISHUN AVE 11","443","YISHUN AVE 11","4 ROOM","04 TO 06","04","06",92,"Model A",2012,"92 years 08 months",92,355000,1.42381002085379,103.844973012516,21.314
"2019-07","YISHUN","653 YISHUN AVE 4","653","YISHUN AVE 4","4 ROOM","10 TO 12","10","12",104,"Model A",1987,"66 years 06 months",66,360000,1.42307981422748,103.839666794518,22.438
"2019-07","YISHUN","864 YISHUN AVE 4","864","YISHUN AVE 4","4 ROOM","10 TO 12","10","12",104,"Model A",1988,"67 years 11 months",67,369000,1.41667257801916,103.839242300389,21.783
"2019-07","YISHUN","426D YISHUN AVE 11","426D","YISHUN AVE 11","4 ROOM","10 TO 12","10","12",92,"Model A",2015,"94 years 09 months",94,380000,1.42312201562129,103.84749822076,21.088
"2019-07","YISHUN","334D YISHUN ST 31","334D","YISHUN ST 31","4 ROOM","01 TO 03","01","03",92,"Model A",2015,"95 years 04 months",95,390000,1.43241464963844,103.846517127438,21.113
"2019-07","YISHUN","431D YISHUN AVE 1","431D","YISHUN AVE 1","4 ROOM","10 TO 12","10","12",92,"Model A",2015,"95 years 03 months",95,405000,1.4199690584837,103.846969476811,21.09
"2019-07","YISHUN","334D YISHUN ST 31","334D","YISHUN ST 31","4 ROOM","10 TO 12","10","12",92,"Model A",2015,"95 years 04 months",95,408888,1.43241464963844,103.846517127438,21.113
"2019-07","YISHUN","315A YISHUN AVE 9","315A","YISHUN AVE 9","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"95 years 03 months",95,412000,1.43238385408312,103.842384119393,23.369
"2019-07","YISHUN","315B YISHUN AVE 9","315B","YISHUN AVE 9","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"95 years 04 months",95,415000,1.43193085614681,103.842565042895,23.406
"2019-07","YISHUN","317C YISHUN AVE 9","317C","YISHUN AVE 9","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"95 years 03 months",95,420000,1.43378048287839,103.843105705893,21.848
"2019-07","YISHUN","318C YISHUN AVE 9","318C","YISHUN AVE 9","4 ROOM","07 TO 09","07","09",92,"Model A",2015,"95 years 03 months",95,423000,1.43338279018701,103.843517908933,21.883
"2019-07","YISHUN","318C YISHUN AVE 9","318C","YISHUN AVE 9","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"95 years 03 months",95,455000,1.43338279018701,103.843517908933,21.883
"2019-08","SENGKANG","227C COMPASSVALE DR","227C","COMPASSVALE DR","4 ROOM","10 TO 12","10","12",102,"Model A",2000,"79 years 05 months",79,430000,1.38680229828816,103.901132950862,15.929
"2019-08","SENGKANG","452B SENGKANG WEST WAY","452B","SENGKANG WEST WAY","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"94 years 09 months",94,430000,1.39359219975011,103.873975642578,16.981
"2019-08","SENGKANG","209A COMPASSVALE LANE","209A","COMPASSVALE LANE","4 ROOM","10 TO 12","10","12",92,"Model A",2011,"91 years 03 months",91,438000,1.38359765453194,103.898502660861,16.247
"2019-08","SENGKANG","440B FERNVALE LINK","440B","FERNVALE LINK","4 ROOM","13 TO 15","13","15",92,"Model A",2015,"95 years 01 month",95,445000,1.39329062882167,103.878138964178,17.477
"2019-08","SENGKANG","453D FERNVALE RD","453D","FERNVALE RD","4 ROOM","22 TO 24","22","24",92,"Model A",2015,"94 years 11 months",94,448000,1.39341707295426,103.875340178233,17.217
"2019-10","BUKIT PANJANG","635A SENJA RD","635A","SENJA RD","4 ROOM","31 TO 33","31","33",92,"Model A",2015,"95 years 01 month",95,488000,1.38656225824527,103.757208072494,18.962
"2019-10","BUKIT PANJANG","621 SENJA RD","621","SENJA RD","4 ROOM","13 TO 15","13","15",90,"Model A",2001,"81 years 02 months",81,375000,1.38602106063185,103.762854282454,18.967
"2019-10","BUKIT PANJANG","634A SENJA RD","634A","SENJA RD","4 ROOM","16 TO 18","16","18",93,"Model A",2015,"95 years",95,450000,1.38579809218637,103.757614659363,18.841
"2019-10","BUKIT TIMAH","3 QUEEN'S RD","3","QUEEN'S RD","4 ROOM","07 TO 09","07","09",91,"Improved",1974,"53 years 06 months",53,530000,1.31833337221312,103.808097181789,9.314
"2019-10","CENTRAL AREA","641 ROWELL RD","641","ROWELL RD","4 ROOM","16 TO 18","16","18",101,"Model A",1983,"63 years",63,550000,1.30815916680636,103.855147802763,3.888
"2019-10","CENTRAL AREA","335B SMITH ST","335B","SMITH ST","4 ROOM","22 TO 24","22","24",82,"Improved",1984,"63 years 05 months",63,665000,1.28236449613222,103.843448181669,1.944
"2019-10","CHOA CHU KANG","289 CHOA CHU KANG AVE 3","289","CHOA CHU KANG AVE 3","4 ROOM","01 TO 03","01","03",104,"Model A",1993,"72 years 08 months",72,325000,1.37927183528093,103.74066488084,22.954
"2019-10","CHOA CHU KANG","435 CHOA CHU KANG AVE 4","435","CHOA CHU KANG AVE 4","4 ROOM","01 TO 03","01","03",104,"Model A",1993,"72 years 08 months",72,325000,1.38513876368188,103.741050016887,22.974
"2019-10","CHOA CHU KANG","476D CHOA CHU KANG AVE 5","476D","CHOA CHU KANG AVE 5","4 ROOM","10 TO 12","10","12",92,"Model A",2013,"92 years 09 months",92,405000,1.37727907968964,103.738418034791,22.827
"2019-10","CHOA CHU KANG","476B CHOA CHU KANG AVE 5","476B","CHOA CHU KANG AVE 5","4 ROOM","04 TO 06","04","06",92,"Model A",2013,"92 years 09 months",92,365000,1.37711823495119,103.737558566927,22.755
"2019-10","CHOA CHU KANG","684B CHOA CHU KANG CRES","684B","CHOA CHU KANG CRES","4 ROOM","04 TO 06","04","06",90,"Model A",2002,"82 years",82,358000,1.40389957807762,103.747236264641,23.698
"2019-10","CHOA CHU KANG","683B CHOA CHU KANG CRES","683B","CHOA CHU KANG CRES","4 ROOM","10 TO 12","10","12",90,"Model A",2002,"81 years 10 months",81,320000,1.40376671076444,103.746257887648,23.567
"2019-10","CHOA CHU KANG","228 CHOA CHU KANG CTRL","228","CHOA CHU KANG CTRL","4 ROOM","01 TO 03","01","03",104,"Model A",1989,"68 years 07 months",68,315000,1.3809461575335,103.746498914115,20.164
"2019-10","CHOA CHU KANG","620 CHOA CHU KANG ST 62","620","CHOA CHU KANG ST 62","4 ROOM","04 TO 06","04","06",108,"Model A",1996,"75 years 09 months",75,375000,1.3998050633755,103.747145323815,23.149
"2019-10","CHOA CHU KANG","6 TECK WHYE AVE","6","TECK WHYE AVE","4 ROOM","10 TO 12","10","12",104,"Model A",1984,"63 years 05 months",63,338000,1.38158682382234,103.753828252297,19.197
"2019-10","CLEMENTI","301 CLEMENTI AVE 4","301","CLEMENTI AVE 4","4 ROOM","13 TO 15","13","15",92,"New Generation",1979,"58 years 05 months",58,425000,1.32217649495476,103.764912144396,13.877
"2019-10","CLEMENTI","309 CLEMENTI AVE 4","309","CLEMENTI AVE 4","4 ROOM","10 TO 12","10","12",92,"New Generation",1980,"59 years 03 months",59,438000,1.32091981411778,103.766377598785,13.783
"2019-10","GEYLANG","105 ALJUNIED CRES","105","ALJUNIED CRES","4 ROOM","04 TO 06","04","06",99,"New Generation",1979,"58 years 03 months",58,490000,1.31946862097465,103.882751492944,6.556
"2019-10","GEYLANG","56 CASSIA CRES","56","CASSIA CRES","4 ROOM","07 TO 09","07","09",102,"Model A",1998,"77 years 04 months",77,670000,1.31022063491151,103.88323543756,5.504
"2019-10","GEYLANG","5 HAIG RD","5","HAIG RD","4 ROOM","07 TO 09","07","09",92,"New Generation",1976,"55 years 09 months",55,441000,1.31258917369124,103.896591193187,7.263
"2019-10","GEYLANG","9 PINE CL","9","PINE CL","4 ROOM","01 TO 03","01","03",102,"Model A",1997,"77 years 01 month",77,6e+05,1.30946949657983,103.882437524567,5.522
"2019-10","GEYLANG","336 UBI AVE 1","336","UBI AVE 1","4 ROOM","07 TO 09","07","09",83,"Simplified",1986,"65 years 05 months",65,330000,1.32572020348011,103.901822392584,9.702
"2019-10","GEYLANG","349 UBI AVE 1","349","UBI AVE 1","4 ROOM","04 TO 06","04","06",104,"Model A",1986,"65 years 03 months",65,4e+05,1.32582834326478,103.900581103781,9.492
"2019-10","GEYLANG","345 UBI AVE 1","345","UBI AVE 1","4 ROOM","01 TO 03","01","03",84,"Simplified",1985,"65 years",65,340000,1.32591743884326,103.899063689115,9.703
"2019-10","HOUGANG","988C BUANGKOK GREEN","988C","BUANGKOK GREEN","4 ROOM","04 TO 06","04","06",93,"Model A",2015,"94 years 04 months",94,430000,1.38029686296144,103.877266407149,16.088
"2019-10","HOUGANG","113 HOUGANG AVE 1","113","HOUGANG AVE 1","4 ROOM","01 TO 03","01","03",95,"New Generation",1982,"61 years 03 months",61,333000,1.35356905255693,103.888705665044,11.675
"2019-10","HOUGANG","515 HOUGANG AVE 10","515","HOUGANG AVE 10","4 ROOM","04 TO 06","04","06",84,"Simplified",1986,"66 years",66,337000,1.37239536533304,103.889038095817,15.849
"2019-10","HOUGANG","704 HOUGANG AVE 2","704","HOUGANG AVE 2","4 ROOM","01 TO 03","01","03",96,"New Generation",1985,"65 years 01 month",65,315000,1.3649231962434,103.889379532965,13.521
"2019-10","HOUGANG","608 HOUGANG AVE 4","608","HOUGANG AVE 4","4 ROOM","01 TO 03","01","03",84,"Simplified",1985,"64 years 11 months",64,318000,1.37084420462336,103.885431882212,15.618
"2019-10","HOUGANG","607 HOUGANG AVE 4","607","HOUGANG AVE 4","4 ROOM","01 TO 03","01","03",90,"Simplified",1986,"65 years 09 months",65,330000,1.3702520267426,103.886157677641,15.555
"2019-10","HOUGANG","319 HOUGANG AVE 5","319","HOUGANG AVE 5","4 ROOM","10 TO 12","10","12",93,"New Generation",1983,"62 years 09 months",62,342000,1.36572843966135,103.896620216828,13.056
"2019-10","HOUGANG","521 HOUGANG AVE 6","521","HOUGANG AVE 6","4 ROOM","01 TO 03","01","03",84,"Simplified",1987,"66 years 11 months",66,325000,1.37340363494693,103.890971498594,15.959
"2019-10","HOUGANG","317 HOUGANG AVE 7","317","HOUGANG AVE 7","4 ROOM","10 TO 12","10","12",93,"New Generation",1983,"62 years 09 months",62,360000,1.36529966178088,103.896454800013,12.804
"2019-10","HOUGANG","636 HOUGANG AVE 8","636","HOUGANG AVE 8","4 ROOM","10 TO 12","10","12",84,"Simplified",1987,"67 years 02 months",67,330000,1.37061271157512,103.879209065676,15.301
"2019-10","HOUGANG","669 HOUGANG AVE 8","669","HOUGANG AVE 8","4 ROOM","07 TO 09","07","09",104,"Model A",1987,"67 years 01 month",67,370000,1.37337022502161,103.884099363082,15.196
"2019-10","HOUGANG","444 HOUGANG AVE 8","444","HOUGANG AVE 8","4 ROOM","07 TO 09","07","09",103,"Model A",1991,"70 years 11 months",70,418000,1.37948290397073,103.893847652197,17.246
"2019-10","HOUGANG","444 HOUGANG AVE 8","444","HOUGANG AVE 8","4 ROOM","07 TO 09","07","09",113,"Model A",1991,"70 years 11 months",70,440000,1.37948290397073,103.893847652197,17.246
"2019-10","HOUGANG","630 HOUGANG AVE 8","630","HOUGANG AVE 8","4 ROOM","04 TO 06","04","06",84,"Simplified",1986,"66 years 02 months",66,320000,1.37028550123907,103.881064208977,14.826
"2019-10","HOUGANG","242 HOUGANG ST 22","242","HOUGANG ST 22","4 ROOM","07 TO 09","07","09",91,"New Generation",1984,"64 years",64,335800,1.35738897663765,103.892167860466,12.02
"2019-10","HOUGANG","552 HOUGANG ST 51","552","HOUGANG ST 51","4 ROOM","04 TO 06","04","06",104,"Model A",1990,"69 years 03 months",69,370000,1.3788033441094,103.890373625219,16.73
"2019-10","HOUGANG","570 HOUGANG ST 51","570","HOUGANG ST 51","4 ROOM","01 TO 03","01","03",100,"Model A",1997,"76 years 07 months",76,360000,1.3779717648119,103.888099465444,16.746
